year,zone,sex,age_group,population,hypertension_count,prevalence_rate
2000-01-01T00:00:00.000,Zone 3 - Eastern,M,70 to 79,5414,2917,53.88
2000-01-01T00:00:00.000,Zone 3 - Eastern,M,80 +,2853,1527,53.52
2000-01-01T00:00:00.000,Zone 2 - Northern,F,20 to 29,9980,175,1.75
2000-01-01T00:00:00.000,Zone 2 - Northern,F,30 to 39,11943,680,5.69
2000-01-01T00:00:00.000,Zone 2 - Northern,F,40 to 49,12834,1732,13.50
2000-01-01T00:00:00.000,Zone 2 - Northern,F,50 to 59,10147,3139,30.94
2000-01-01T00:00:00.000,Zone 2 - Northern,F,60 to 69,6797,3248,47.79
2000-01-01T00:00:00.000,Zone 2 - Northern,F,70 to 79,5746,3611,62.84
2000-01-01T00:00:00.000,Zone 2 - Northern,F,80 +,4572,3007,65.77
2000-01-01T00:00:00.000,Zone 2 - Northern,M,20 to 29,9938,138,1.39
2000-01-01T00:00:00.000,Zone 2 - Northern,M,30 to 39,11645,620,5.32
2000-01-01T00:00:00.000,Zone 2 - Northern,M,40 to 49,12670,1579,12.46
2000-01-01T00:00:00.000,Zone 2 - Northern,M,50 to 59,10322,2738,26.53
2000-01-01T00:00:00.000,Zone 2 - Northern,M,60 to 69,6578,2737,41.61
2000-01-01T00:00:00.000,Zone 2 - Northern,M,70 to 79,4444,2379,53.53
2000-01-01T00:00:00.000,Zone 2 - Northern,M,80 +,2260,1286,56.90
2000-01-01T00:00:00.000,Zone 1 - Western,F,20 to 29,11986,217,1.81
2000-01-01T00:00:00.000,Zone 1 - Western,F,30 to 39,15866,771,4.86
2000-01-01T00:00:00.000,Zone 1 - Western,F,40 to 49,17474,2023,11.58
2000-01-01T00:00:00.000,Zone 1 - Western,F,50 to 59,14376,4041,28.11
2000-01-01T00:00:00.000,Zone 1 - Western,F,60 to 69,9693,4315,44.52
2000-01-01T00:00:00.000,Zone 1 - Western,F,70 to 79,7792,4589,58.89
2000-01-01T00:00:00.000,Zone 1 - Western,F,80 +,6197,3720,60.03
2000-01-01T00:00:00.000,Zone 1 - Western,M,20 to 29,11847,132,1.11
2000-01-01T00:00:00.000,Zone 1 - Western,M,30 to 39,14993,667,4.45
2000-01-01T00:00:00.000,Zone 1 - Western,M,40 to 49,16812,1847,10.99
2000-01-01T00:00:00.000,Zone 1 - Western,M,50 to 59,14233,3359,23.60
2000-01-01T00:00:00.000,Zone 1 - Western,M,60 to 69,9535,3531,37.03
2000-01-01T00:00:00.000,Zone 1 - Western,M,70 to 79,6504,3137,48.23
2000-01-01T00:00:00.000,Zone 1 - Western,M,80 +,3496,1683,48.14
2001-01-01T00:00:00.000,Zone 4 - Central,F,20 to 29,30093,388,1.29
2001-01-01T00:00:00.000,Zone 4 - Central,F,30 to 39,34311,1594,4.65
2001-01-01T00:00:00.000,Zone 4 - Central,F,40 to 49,33886,3814,11.26
2001-01-01T00:00:00.000,Zone 4 - Central,F,50 to 59,25241,7046,27.91
2001-01-01T00:00:00.000,Zone 4 - Central,F,60 to 69,15353,7335,47.78
2001-01-01T00:00:00.000,Zone 4 - Central,F,70 to 79,12136,7707,63.51
2001-01-01T00:00:00.000,Zone 4 - Central,F,80 +,8762,6046,69.00
2001-01-01T00:00:00.000,Zone 4 - Central,M,20 to 29,28242,334,1.18
2001-01-01T00:00:00.000,Zone 4 - Central,M,30 to 39,31239,1357,4.34
2001-01-01T00:00:00.000,Zone 4 - Central,M,40 to 49,31456,3536,11.24
2001-01-01T00:00:00.000,Zone 4 - Central,M,50 to 59,23897,6065,25.38
2001-01-01T00:00:00.000,Zone 4 - Central,M,60 to 69,14387,6174,42.91
2001-01-01T00:00:00.000,Zone 4 - Central,M,70 to 79,9092,5134,56.47
2001-01-01T00:00:00.000,Zone 4 - Central,M,80 +,4301,2559,59.50
2001-01-01T00:00:00.000,Zone 3 - Eastern,F,20 to 29,10454,199,1.90
2001-01-01T00:00:00.000,Zone 3 - Eastern,F,30 to 39,12314,809,6.57
2001-01-01T00:00:00.000,Zone 3 - Eastern,F,40 to 49,15289,2354,15.40
2001-01-01T00:00:00.000,Zone 3 - Eastern,F,50 to 59,12706,4203,33.08
2001-01-01T00:00:00.000,Zone 3 - Eastern,F,60 to 69,8653,4367,50.47
2001-01-01T00:00:00.000,Zone 3 - Eastern,F,70 to 79,6813,4430,65.02
2001-01-01T00:00:00.000,Zone 3 - Eastern,F,80 +,5759,3878,67.34
2001-01-01T00:00:00.000,Zone 3 - Eastern,M,20 to 29,10647,163,1.53
2001-01-01T00:00:00.000,Zone 3 - Eastern,M,30 to 39,12023,694,5.77
2001-01-01T00:00:00.000,Zone 3 - Eastern,M,40 to 49,15104,2154,14.26
2001-01-01T00:00:00.000,Zone 3 - Eastern,M,50 to 59,13125,3708,28.25
2001-01-01T00:00:00.000,Zone 3 - Eastern,M,60 to 69,8463,3744,44.24
2001-01-01T00:00:00.000,Zone 3 - Eastern,M,70 to 79,5459,3080,56.42
2001-01-01T00:00:00.000,Zone 3 - Eastern,M,80 +,2880,1671,58.02
2001-01-01T00:00:00.000,Zone 2 - Northern,F,20 to 29,9734,172,1.77
2001-01-01T00:00:00.000,Zone 2 - Northern,F,30 to 39,11691,712,6.09
2001-01-01T00:00:00.000,Zone 2 - Northern,F,40 to 49,13052,1913,14.66
2001-01-01T00:00:00.000,Zone 2 - Northern,F,50 to 59,10466,3375,32.25
2001-01-01T00:00:00.000,Zone 2 - Northern,F,60 to 69,6959,3475,49.94
2001-01-01T00:00:00.000,Zone 2 - Northern,F,70 to 79,5698,3703,64.99
2001-01-01T00:00:00.000,Zone 2 - Northern,F,80 +,4679,3246,69.37
2001-01-01T00:00:00.000,Zone 2 - Northern,M,20 to 29,9669,132,1.37
2001-01-01T00:00:00.000,Zone 2 - Northern,M,30 to 39,11495,684,5.95
2001-01-01T00:00:00.000,Zone 2 - Northern,M,40 to 49,12793,1748,13.66
2001-01-01T00:00:00.000,Zone 2 - Northern,M,50 to 59,10678,3010,28.19
2001-01-01T00:00:00.000,Zone 2 - Northern,M,60 to 69,6747,2969,44.00
